_id,username,sentiment,tweet,userLocation,location
ObjectID(572c6637a1503710d1ce4f11),"Miss_ebooks","neg"," if you follow me then unfollow and think i wont unfollow you too then you are a faggot","no",
ObjectID(572c6647a1503710d1ce4f12),"JayJay926","neg"," AT_USER 19 for me ha faggot","The Netherlands ",
ObjectID(572c6657a1503710d1ce4f13),"Persian_Iranian","neutral"," boobs who's online: pim38: URL ohmibod omg jihad","Middle East",
ObjectID(572c665da1503710d1ce4f14),"chinedu35433136","neg"," buhari is a terrorist using dss and his fulani jihad's warriors to kill and massacre biafrans in biafra land",,
ObjectID(572c6661a1503710d1ce4f15),"queenbeescan","neg"," the terrorist attacks against americans have to stop. the president is the people's only hope. URL",,
ObjectID(572c6699a1503710d1ce4f16),"elliot_kelsch","neg"," AT_USER AT_USER milo is my favorite faggot.","Astral Plane",
ObjectID(572c66d5a1503710d1ce4f17),"FactsGrabber","neutral"," book review: mahatma gandhi’s killing was an act of love jihad - URL URL",,
ObjectID(572c66dba1503710d1ce4f18),"DetectiveLwegi","neg"," AT_USER AT_USER AT_USER AT_USER AT_USER no. but you should know cuckoldry porn is your favourite. you faggot","In Orbit",
ObjectID(572c66f7a1503710d1ce4f19),"AgendaOfEvil","neutral"," URL cbn discovers the saudi funded schoolbook jihad",,
ObjectID(572c670ca1503710d1ce4f1a),"thefunniestbot","neutral"," 10 eggs and of amy's love story tadaaaaaaaaaaaaaaaaadown, and come to jihad bro!","Saudi Arabia",
ObjectID(572c6718a1503710d1ce4f1b),"legalherbalist","neg"," ""niggas call me faggot cuz they closeted ","hogwarts",
ObjectID(572c6719a1503710d1ce4f1c),"Samntha5SOS","neg"," he's a blubbery faggot who only cares 'bout his hair and what to eat.","卌 S O S",
ObjectID(572c671ea1503710d1ce4f1d),"FrontlineSoze","neutral"," late pass: 😂😂😂😂😂😂 URL","Middle Earth",
ObjectID(572c6724a1503710d1ce4f1e),"hr5ty","neg"," AT_USER AT_USER pussy darf faggot",,
ObjectID(572c6737a1503710d1ce4f1f),"ZarunaM","neg"," im cry i hate how my professors + a bunch of fucktards what jihad is"" -inspirational words of snow.",,
ObjectID(572c6740a1503710d1ce4f20),"WasaKing14","neutral"," AT_USER this thread is faggot-y.","Wario's Sex Dungeon",
ObjectID(572c6756a1503710d1ce4f21),"YeahKenOath","neutral"," thy might call it the littlewally house of indoctrination and jihad apologia... women stay outside! AT_USER AT_USER",,
ObjectID(572c676fa1503710d1ce4f22),"One_marked","neg"," come back to me after you finish all the stalker games faggot URL",,
ObjectID(572c67a5a1503710d1ce4f23),"hazlegrovp","neg"," yeah i shaved my dick hair , you gotta problem bout it faggot ?",,
ObjectID(572c67a6a1503710d1ce4f24),"Couchmaster3000","neg"," because you can't be a legal hispanic in the us of a, can you now hillary? what a fucking tone deaf tweet URL",,
ObjectID(572c67d0a1503710d1ce4f25),"peterweston77","neg"," .. like pete fukn retard price, marcus collins, christopher maloney, an that other ferret-headed faggot cunt who was in big brother..","Liverpool, England",
ObjectID(572c67d9a1503710d1ce4f26),"tottenhmnews","neg"," greg dyke: tottenham closing in on deal to play champions league games at wembley... URL thfc",,
ObjectID(572c67dfa1503710d1ce4f27),"chlseanews","neg"," greg dyke: tottenham closing in on deal to play champions league games at wembley... URL cfc",,
ObjectID(572c67eda1503710d1ce4f28),"joseph_nave","neg"," AT_USER AT_USER once again: all this media coverage is negative. get that through you thick skull, faggot.","Weimerica",
ObjectID(572c6810a1503710d1ce4f29),"MarshaHill","neutral"," everyday islam stopislam islamismurder neversubmit cdu spd gruene simply muslims religionofpeace URL",,
ObjectID(572c6811a1503710d1ce4f2a),"DanaWhilte","neg"," AT_USER keep trying dumb ass, he will be president and there's nothing your swj faggot ass can do about it.",,
ObjectID(572c6812a1503710d1ce4f2b),"DetectiveLwegi","neg"," AT_USER AT_USER AT_USER AT_USER AT_USER they would be if i was you or that senpai faggot.","In Orbit",
ObjectID(572c682da1503710d1ce4f2c),"Karlin7108","neg"," AT_USER AT_USER URL lol getting desperate ""faggot",,
ObjectID(572c6847a1503710d1ce4f2d),"DaChiefReese","neutral"," bra blankin 😂 URL","Da Ugly 7Teen00BLK",
ObjectID(572c684fa1503710d1ce4f2e),"irlDilbert","neg"," hey faggot",,
ObjectID(572c6856a1503710d1ce4f2f),"wicket_master","pos"," do you see how beautiful this girl is??? like damn look at that highlight. you own that crown URL",,
ObjectID(572c688ea1503710d1ce4f30),"vanjavorsty31","neg"," big cocks faggot joi URL",,
ObjectID(572c689ba1503710d1ce4f31),"MeeZyEyeBe","neg"," nigga.... what in thee entire fuck are you babbling about??? URL","Wisconsin, USA",
ObjectID(572c68b3a1503710d1ce4f32),"nshkid","neg"," annoying faggot","got7//bangtan//exo",
ObjectID(572c68bda1503710d1ce4f33),"HollieKing2","neg"," shoutout to that guy on the bus who called me a ""faggot"" and a ""gimp"" and was then really rude to his mum.","Scotland",
ObjectID(572c68bfa1503710d1ce4f34),"StayGold_n","neg"," ""all you got is andre the giant"" over 5'5 you a nasty bull dyke","Baby Tec",
ObjectID(572c68c8a1503710d1ce4f35),"chinedu35433136","neg"," buhari nigeria president and there terrorist attack and jihad's group with there dss men are killing biafrans day by day in biafra hand .",,
ObjectID(572c68d6a1503710d1ce4f36),"knightstrength2","neutral"," AT_USER AT_USER the real refugees are non muslims. those so called muslims refugees are a jihad for their overdue mahdi","Tasmania",
ObjectID(572c68dfa1503710d1ce4f37),"DongeredBot","neg"," no i dont have laptops u dumb faggot AT_USER",,
ObjectID(572c68eaa1503710d1ce4f38),"wifesapprentice","neutral"," do i see a twat here .... clue......looks like my pic URL",,
ObjectID(572c68fea1503710d1ce4f39),"janimine","neutral"," jihad cell in france: 'the french must die by the thousands' URL",,
ObjectID(572c6907a1503710d1ce4f3a),"BuurtLeuven","neutral"," sat 07 may: urban woorden week: play on saturday (reizen jihad... URL leuven culture hoplr URL","Leuven, België",
ObjectID(572c6928a1503710d1ce4f3b),"Raymanizer","neg"," i kissed a dyke and i liked it, i hope AT_USER don't mind it","In The Zone",
ObjectID(572c6959a1503710d1ce4f3c),"Bottom_Boy69","neg"," URL wood morning gay twitter👨‍❤️‍💋‍👨 tgif thank god i'm a faggot👨‍❤️‍💋‍👨 faggotfood👨‍❤️‍💋‍👨","Faggot City USA ",
ObjectID(572c695ca1503710d1ce4f3d),"rustie9","pos"," exactly!! brits need to wake up and stop being overly nice to these terrorists in your country!!! URL","Baltimore, Maryland, USA",
ObjectID(572c696fa1503710d1ce4f3e),"connor_audrey","neutral"," pakistan concerned not about rise of jihad terror, but about &8220;islamophobia&#8221; in the west URL","Scotland",
ObjectID(572c697fa1503710d1ce4f3f),"CaritadeAimen","neutral"," so london gonna run by a muslim mayer happy  kudos to those who voted against tat ""muslims are terrorist"" mentality londonmayor2016"," somewhere Around you",
ObjectID(572c6993a1503710d1ce4f40),"hr5ty","neutral"," AT_USER AT_USER AT_USER nice clan faggot",,
ObjectID(572c69bea1503710d1ce4f41),"ultra_buy","neutral"," new offa's dyke path south book (sheet map, folded) free p&h URL URL",,
ObjectID(572c69cda1503710d1ce4f42),"Raymanizer","pos"," AT_USER AT_USER it was actually a certain greek dyke but oh wow this tea is delicious and intriguing","In The Zone",
ObjectID(572c6a04a1503710d1ce4f43),"HonestlyConcern","neutral"," london's new muslim mayor has shared platform with jew-haters | jihad watch - URL <p>passend ... URL",,
ObjectID(572c6a04a1503710d1ce4f44),"Lewdicrously","neg"," AT_USER damn that guy is a faggot",,
ObjectID(572c6a0aa1503710d1ce4f45),"GreatitemItem","neg"," modeling coastal and offshore processes by phil dyke URL URL",,
ObjectID(572c6a0da1503710d1ce4f46),"UR_DSYRE","neg"," i can't believe that rob would diss me, that faggot that punk, he's soft as sissy 😒😒😒😒",,
ObjectID(572c6a35a1503710d1ce4f47),"vefanturmandos","neutral"," AT_USER AT_USER AT_USER my personal favorite is jihad me at hello",,
ObjectID(572c6a42a1503710d1ce4f48),"Harry24Hwang","neg"," AT_USER gay faggot",,
ObjectID(572c6a5ca1503710d1ce4f49),"RamiTheGaMeR","neg"," AT_USER kys faggot nfkrz and pyro is the best block me pussy",,
ObjectID(572c6a64a1503710d1ce4f4a),"youngyouson","neg"," AT_USER sup faggot.just joking,your the man!its sad that a hateful message gets more attention.but how about a seminar on oahu!?bjj?udaman",,
ObjectID(572c6a6ca1503710d1ce4f4b),"NotGamesIGuess","neg"," AT_USER edgelord faggot",,
ObjectID(572c6a81a1503710d1ce4f4c),"charlespooter","neg"," r4today editorial meeting. ""also get some labour turncoat to hammer home that khan is a muslim terrorist stooge of AT_USER . got it?","Harrow on the Hill",
ObjectID(572c6ac4a1503710d1ce4f4d),"glitterydoll","neg"," me printing out flyers about me: straight dyke needs love and affection call the number below","Vienna, Austria",
ObjectID(572c6adda1503710d1ce4f4e),"shim_rational","neutral"," let's say no to a jihad school at the heart of melbourne AT_USER AT_USER AT_USER",,
ObjectID(572c6afea1503710d1ce4f4f),"GabssBarragan","neg"," 3am shananeigins AT_USER is being a faggot 🐷",,
ObjectID(572c6b0fa1503710d1ce4f50),"TheJamesRoche","neutral"," AT_USER have a good day mittens, you faggot","Trump's Subterranean Meme Lab",
ObjectID(572c6b1fa1503710d1ce4f51),"chuzhinova1986","neg"," new dick van dyke show URL",,
ObjectID(572c6b2ba1503710d1ce4f52),"GEschwartz","neutral"," only one van dyke parks URL","home",
ObjectID(572c6b43a1503710d1ce4f53),"GeorginaRose29","neutral"," expose the whore georgina, use her. make her suck a strangers cock in a public car park URL","Surrey UK",
ObjectID(572c6b4ca1503710d1ce4f54),"tixWales","neg"," ""colebatch and offa's dyke circuit"", bishop's castle sy9 5aq on fri 13 may 2016, tickets:URL","Wales, UK",
ObjectID(572c6b5ba1503710d1ce4f55),"TexasCruzn","neutral"," iran renews commitment to jihad against israel – bb4sp URL",,
ObjectID(572c6b5ba1503710d1ce4f56),"BraveConWarrior","neutral"," iran renews commitment to jihad against israel – bb4sp URL","USA",
ObjectID(572c6b5ca1503710d1ce4f57),"BarracudaMama","neutral"," iran renews commitment to jihad against israel – bb4sp URL","EIC",
ObjectID(572c6b5da1503710d1ce4f58),"NaughtyBeyotch","neutral"," iran renews commitment to jihad against israel – bb4sp URL","Texas",
ObjectID(572c6b5da1503710d1ce4f59),"ArcticFox2016","neutral"," iran renews commitment to jihad against israel – bb4sp URL",,
ObjectID(572c6b66a1503710d1ce4f5a),"KkamakakK","neutral"," delete this URL","Maryland, USA",
ObjectID(572c6b6da1503710d1ce4f5b),"LFCULLAH_","pos"," AT_USER hope you see the light matty, when i say the light i meant the dying light faggot!!","Kazza & nazzy nigga sikh arse",
ObjectID(572c6b6fa1503710d1ce4f5c),"JulioZ32","neutral"," allowing a slow death to western civilization URL",,
ObjectID(572c6b96a1503710d1ce4f5d),"Areanynamesnott","neg"," an sjw calling someone gamergate is like a 12 year old calling someone ""faggot"". it's the broken clock rule. URL",,
ObjectID(572c6b9da1503710d1ce4f5e),"LudgerBrinkmann","pos"," bombastic balls i love it and your fat cocksize is amazing URL","Bestwig NRW Germany",
ObjectID(572c6b9fa1503710d1ce4f5f),"NigeriaNewsdesk","neutral"," producer drags burna boy over intellectual theft, tags him a faggot URL via AT_USER URL",,
ObjectID(572c6ba9a1503710d1ce4f60),"anachieri","neutral"," URL retweeted URL","London, England",
ObjectID(572c6ba9a1503710d1ce4f61),"Gary_Davis_7807","neg"," AT_USER tottenham in talks with fa over wembley move, confirms greg dyke URL","Indonesia",
ObjectID(572c6bb3a1503710d1ce4f62),"steven103061","neg"," AT_USER fucking faggot",,
ObjectID(572c6bb7a1503710d1ce4f63),"ny_conservative","neutral"," what is stored in 9/11 records? the house of saud, fundamentalist islam & jihad. URL 28pages URL","New York City ",
ObjectID(572c6bb9a1503710d1ce4f64),"Diggin_Digital","neutral"," refugee resettlement and the hijra to america (civilization jihad reader series book 2) kindle edition URL","USA",
ObjectID(572c6bd8a1503710d1ce4f65),"Mohib_Khawer","neg"," AT_USER i'm dyinggggg you faggot; tysm 😭✨","Pisanthrophobia",
ObjectID(572c6bdea1503710d1ce4f66),"chillyrooster","neg"," i added a video to a AT_USER playlist URL louis ck - faggot, cunt, nigger","sacramento for now",
ObjectID(572c6be1a1503710d1ce4f67),"steven103061","neg"," AT_USER fucking faggot",,
ObjectID(572c6c01a1503710d1ce4f68),"NewsPostNigeria","neutral"," producer drags burna boy over intellectual theft, tags him a faggot URL via radarngr URL","Nigeria",
ObjectID(572c6c3ca1503710d1ce4f69),"TobyMatthiesen","neutral"," if you want to know why engineers join jihadist groups come to the AT_USER today at 5pm to hear steffen hertog URL","Oxford, England",
ObjectID(572c6c3da1503710d1ce4f6a),"salmana84378736","neutral"," the best jihad is a word of turth before a tyrant ruler freenaveedbutt",,
ObjectID(572c6c3fa1503710d1ce4f6b),"MarshaHill","neutral"," AT_USER only eight years? religionofpeace afd islam stopislam",,
ObjectID(572c6c42a1503710d1ce4f6c),"love_scroll","neutral"," producer drags burna boy over intellectual theft, tags him a faggot URL via radarngr URL lovescr…","in the heart",
ObjectID(572c6c59a1503710d1ce4f6d),"FAFRocket","neg"," AT_USER yo, to look @ your website the model you paid to show your shoes--the chooshoe is cut off by ugly black box movebox","Seattle",
ObjectID(572c6c63a1503710d1ce4f6e),"GrahamMcKenzie","neg"," AT_USER i am teeing off at 7.15 am tomorrow at devils dyke in sussex. any wind and precipitation forecast ?? thanks","Bolney West Sussex",
ObjectID(572c6c6aa1503710d1ce4f6f),"BorgesJetertsz","pos"," every black girl hair isn't fake, all white girls aren't easy, every light skin girl isn't cute, & every dark skin girl isn't ugly!",,
ObjectID(572c6c74a1503710d1ce4f70),"mrsamuelk","neg"," AT_USER shutup la liverpool deserve to win u faggot",,
ObjectID(572c6c75a1503710d1ce4f71),"BoozeAndGuns","neg"," AT_USER you're a faggot.","The Temples of Ice ",
ObjectID(572c6c89a1503710d1ce4f72),"tandmark","neg"," liked on youtube: me'shell ndegéocello - leviticus: faggot URL","Seattle",
ObjectID(572c6ca0a1503710d1ce4f73),"AliNisar4","neutral"," best jihad is word of truth spoken to a tyrant ruler freenaveedbut AT_USER AT_USER @",,
ObjectID(572c6ca5a1503710d1ce4f74),"ColonialBoy1","neg"," shut your mouth, faggot. god emperor trump is speaking. URL","Australia",
ObjectID(572c6cc8a1503710d1ce4f75),"BoozeAndGuns","neg"," u2 just came on the radio and i'm dancing around like a carlton (faggot).","The Temples of Ice ",
ObjectID(572c6cd0a1503710d1ce4f76),"tommy67_","neg"," AT_USER AT_USER AT_USER AT_USER AT_USER hows his dick taste faggot",,
ObjectID(572c6ce9a1503710d1ce4f77),"jrw19577","neg"," obama frees uss cole bombing devout muslim terrorist | pamela geller URL via AT_USER","Nashville, Tn.",
ObjectID(572c6cf4a1503710d1ce4f78),"synchre_popkov","neutral"," dyke charms honey with zealous pussy fingering URL",,
ObjectID(572c6cfaa1503710d1ce4f79),"Boyd_ebooks","neg"," and the little girl stuck her finger in the dyke and saved all the windmills but who does the little girl work for??","Thorney Towers Home",
ObjectID(572c6d26a1503710d1ce4f7a),"TinyEnemyKrabbu","neg"," you see, the truth is that youre a faggot","Your mom's vagina",
ObjectID(572c6d30a1503710d1ce4f7b),"Mohib_Khawer","neg"," AT_USER idk why i said faggot, but take it as a compliment.","Pisanthrophobia",
ObjectID(572c6d35a1503710d1ce4f7c),"askallah777","neutral"," jihad","atlantis",
ObjectID(572c6d44a1503710d1ce4f7d),"Dylan_BNP","neg"," AT_USER AT_USER AT_USER AT_USER he was idiot on the first call then kfc faggot had to be a dick!",,
ObjectID(572c6d5aa1503710d1ce4f7e),"CurreyMichael","neg"," AT_USER faggot","Your mom's pussy",
ObjectID(572c6d5ba1503710d1ce4f7f),"LudgerBrinkmann","neutral"," that balls 😍😍😍😘 URL","Bestwig NRW Germany",
ObjectID(572c6d5ca1503710d1ce4f80),"Ganjuru","neg"," today is friday and you're still an faggot","Your Dms",
ObjectID(572c6d8aa1503710d1ce4f81),"timb_2014","neutral"," AT_USER britain must come to terms 3rd world refugees must b deported close all borders expedite deportations these muslims r savages","Beverly Hills, CA",
ObjectID(572c6d91a1503710d1ce4f82),"AMSDuarte","neg"," “some say we had to collaborate because it doesn't make sense if i make a dyke but my neighbour is under water” by verkamman.","Lisbon",
ObjectID(572c6da1a1503710d1ce4f83),"REVCLS","neg"," like you fucking faggot fucks URL",,
ObjectID(572c6daaa1503710d1ce4f84),"gpilot99","neg"," AT_USER trump beat 16 republican's who you thought could beat polyester dyke but lost to trump. i guess none really could beat hillary","To the right of being center",
ObjectID(572c6daba1503710d1ce4f85),"LeoMadalitso","neutral"," AT_USER keep trying dumb ass pseudo intellectual, he will be president and there's nothing your swj faggot ass can do about it.",,
ObjectID(572c6daca1503710d1ce4f86),"okhlatime","neutral"," okhla man resorts to posterbaazi, says killing of innocent not jihad URL URL","New Delhi",
ObjectID(572c6db3a1503710d1ce4f87),"tanz924","neg"," i just started to tear up like a little faggot. i love you so much and friends is my favorite show ever URL","Long Island, New York",
ObjectID(572c6dbca1503710d1ce4f88),"belaiphone","pos"," yes! illegals must be deported. obama did it, so what's wrong? crookedhillary trump trumptrain maga URL",,
ObjectID(572c6df8a1503710d1ce4f89),"VicVejo","neutral"," AT_USER jihad vs crusades URL not the religionofpeace islam is the cultofdeath","CBus / NYC seems so far away.",
ObjectID(572c6e07a1503710d1ce4f8a),"Oikiru_","neg"," AT_USER kys faggot","Australia",
ObjectID(572c6e5fa1503710d1ce4f8b),"rolandsmartin","neutral"," 7am on newsonenow: anitaalvarez withdraws from officer jason van dyke’s case, asks for special prosecutor. laquanmcdonald","Washington, D.C.",
ObjectID(572c6e5fa1503710d1ce4f8c),"newsone","neutral"," 7am on newsonenow: anitaalvarez withdraws from officer jason van dyke’s case, asks for special prosecutor. laquanmcdonald","New York, NY",
ObjectID(572c6e5fa1503710d1ce4f8d),"justlikeus_uk","neg"," words like dyke, faggot and gay are used over 13,000 times a day as a slur on twitter. that's not ok. URL","England, United Kingdom",
ObjectID(572c6e65a1503710d1ce4f8e),"fixme6969","neutral"," AT_USER black nigga with dimple is always ugly . you pretty girl",,
ObjectID(572c6e67a1503710d1ce4f8f),"bidveryfineitem","neg"," share scrip - mining. 1897 golden dyke gold mining co - wandong victoria URL URL",,
ObjectID(572c6e6da1503710d1ce4f90),"Mankool_Melbour","neg"," i've been completely lazy with insta, no reason why other than being a faggot! before ☁️9️⃣ though ✌🏻️👌🏻👊🏻 by worsh… URL",,
ObjectID(572c6e74a1503710d1ce4f91),"bigbigrizzle","neg"," AT_USER AT_USER who is that faggot in your pic?",,
ObjectID(572c6e7ca1503710d1ce4f92),"glassjawsh","neg"," professional foul faggot","gross coast",
ObjectID(572c6e87a1503710d1ce4f93),"CyberAnonymous","neutral"," nigerianewsdesk: producer drags burna boy over intellectual theft, tags him a faggot URL via … URL","Abuja, Nigeria",
ObjectID(572c6e9ba1503710d1ce4f94),"TheMonoStore","neutral"," AT_USER also happy bday faggot dont get pummeled to death by render ily","location funny name",
ObjectID(572c6e9fa1503710d1ce4f95),"NickNchlsn","pos"," .AT_USER AT_USER AT_USER ""i'm king salman and i approve the mega jihad mosque in melbourne."" URL","Australia",
ObjectID(572c6ea0a1503710d1ce4f96),"exli_karpov","neutral"," wild pussy lickings for agreeable dyke honeys URL",,
ObjectID(572c6ed6a1503710d1ce4f97),"SEC_SAM","neutral"," nevereverhillary alwaystrump retweet AT_USER AT_USER AT_USER AT_USER URL","Atlanta, GA",
ObjectID(572c6edaa1503710d1ce4f98),"kinnisonrobert1","neg"," AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER what's this faggot shit ?","Butte BUTT ASS MONTANA ",
ObjectID(572c6ef4a1503710d1ce4f99),"teengape","neg"," sex,#porn,#xxx,#sexy busty bigboob bigtit boobs tits pussy 👇👇👍 porn adult : ugly black... URL",,
ObjectID(572c6f33a1503710d1ce4f9a),"PeterVervloet","neutral"," AT_USER it defeats the point if they then have to go and do way over the top accents. might as well get dick van dyke if y'want that accent","Belgium",
ObjectID(572c6f49a1503710d1ce4f9b),"84ucid_alena","neg"," young latina dyke bitches making out outdoors URL",,
ObjectID(572c6f4fa1503710d1ce4f9c),"VertigoCultist","neutral"," according to my opponent, godless faggot AT_USER america isn't ""great."" yeah, that's because you're still here. deporttrump","Planet Earth",
ObjectID(572c6f62a1503710d1ce4f9d),"Conscores","neutral"," how can you argue science and raw data? rt URL stopislam billwarnerphd AT_USER cspi bansharia makedclisten","USA",
ObjectID(572c6f63a1503710d1ce4f9e),"82zlatagreenin","neg"," horny young blondes dyke out by the pool URL",,
ObjectID(572c6f65a1503710d1ce4f9f),"CatholicsTweet","pos"," america, wake up and hear the call to action! rt URL stopislam makedclisten teaparty conservatives AT_USER","Roman Catholic World!",
ObjectID(572c6f93a1503710d1ce4fa0),"SmashyCassie","neg"," this article is dreadful imho. femme dyke is not mutually exclusive with transwoman or queer of colour identities URL","Leeds",
ObjectID(572c6faea1503710d1ce4fa1),"Mistressnancy","neutral"," til hillary thinks that all hispanics are illegal. trump won't deport me, i'm documented. URL","CA USA!",
ObjectID(572c6fc4a1503710d1ce4fa2),"PHlLAUTIA","neg"," it's am ugly movie, i know. sweats. URL","fqss. fc: pcy. / 5% NSFW",
ObjectID(572c6fc5a1503710d1ce4fa3),"JackFromThePast","neg"," AT_USER he's an unbearable faggot. ha. get it. bear puns. i hope you like bear puns coward.",,
ObjectID(572c6fe1a1503710d1ce4fa4),"Bottom_Boy69","neg"," URL wood morning gay twitter👨‍❤️‍💋‍👨 tgif thank god i'm a faggot👨‍❤️‍💋‍👨 faggotfood👨‍❤️‍💋‍👨","Faggot City USA ",
ObjectID(572c6fe8a1503710d1ce4fa5),"HC_x_ZM","neutral"," abnegation - jihad URL","東京都町田市",
ObjectID(572c700ca1503710d1ce4fa6),"ReidGoneReid","neg"," rt AT_USER get you a dyke that's tired of hoes!",,
ObjectID(572c7059a1503710d1ce4fa7),"OpulentOffers","neg"," share scrip - mining. 1897 golden dyke gold mining co - wandong victoria URL URL",,
ObjectID(572c705aa1503710d1ce4fa8),"kentucky_built","neg"," black white mexican asian tall short fat skinny rich broke ugly pretty lame poppin family or not . you never cross loyalty.","Up East. Slime",
ObjectID(572c7065a1503710d1ce4fa9),"Eboryte","neg"," this faggot URL","Uranus",
ObjectID(572c7073a1503710d1ce4faa),"FaizanFCB","neg"," AT_USER start game of thrones already you faggot","Dubai, United Arab Emirates",
ObjectID(572c70a1a1503710d1ce4fab),"backward_n","neg"," i shit on your darksouls for i am a joyless faggot URL","Ferrum Stadium",
ObjectID(572c70b0a1503710d1ce4fac),"FeministCrip","neg"," yato is a faggot URL","San Bernardino, CA",
ObjectID(572c70b3a1503710d1ce4fad),"shazleenarissaa","neutral"," growing up faggot💀👽💦🌟🔥✨💩💢","Malaysia",
ObjectID(572c70c1a1503710d1ce4fae),"Bottom_Boy69","neg"," URL wood morning gay twitter👨‍❤️‍💋‍👨 tgif thank god i'm a faggot👨‍❤️‍💋‍👨 faggotfood👨‍❤️‍💋‍👨","Faggot City USA ",
