_id,username,userLocation,tweet,location
ObjectID(5742b99ea1503718e7dd9b7a),"IsraeliIDF24","Africa "," isis calls for terror attacks in west during upcoming ramadan URL",
ObjectID(5742ba3ba1503718e7dd9b7b),"RightWingDoctor","General Hindu Male का बदनसीब "," AT_USER AT_USER what is more deafening is the silence of msm on the continous onslaught of jihad and seperatists forces.",
ObjectID(5742ba84a1503718e7dd9b7c),"sewbizzz","America"," hitler bernie and jihad killary will never step foot in our white house...trump forever...",
ObjectID(5742ba9da1503718e7dd9b7d),"IrishZionists","Dublin City, Ireland"," remember the grand mufti. the world's biggest mass murderer. URL",
ObjectID(5742babaa1503718e7dd9b7e),"MatildaBawden","South Australia"," yes, pamela geller was with the serbs long before the world had even heard of the word ""jihad"". 17years later... URL",
ObjectID(5742baffa1503718e7dd9b7f),"SLCCStudent","Salt Lake City, Utah, USA"," egyptian pilot was jihadist linked to benghazi attack URL",
ObjectID(5742bb47a1503718e7dd9b80),"Persian_Iranian","Middle East"," boobs who's online: 2freaks4u: URL ohmibod omg jihad",
ObjectID(5742bbcda1503718e7dd9b81),"Xantl","34° 3' 8 N; 118° 14' 34 W"," band in paris jihad attacks gets gigs canceled for noting muslims celebrated attacks URL",
ObjectID(5742bbdba1503718e7dd9b82),"tisniewaar",," suicide assault? URL",
ObjectID(5742bc03a1503718e7dd9b83),"awadkum","Kolkata"," islam preaches dis & much more hatred !jihad & total annihilation of 'kafirs' but AT_USER is blamed . URL",
ObjectID(5742bc13a1503718e7dd9b84),"365Arizona","State of Arizona"," enemies within:congressional progressive caucus:80 communists, muslims, socialists, progressives URL rt stopislam tcot",
ObjectID(5742bc15a1503718e7dd9b85),"CatholicsTweet","Roman Catholic World!"," do you know about dualism? rt URL stopislam tcot billwarnerphd AT_USER makedclisten",
ObjectID(5742bc15a1503718e7dd9b86),"RetireTheLeft","USA"," we're taking our country back! rt URL stopislam crusades makedclisten wakeupamerica",
ObjectID(5742bc6fa1503718e7dd9b87),"gmapattip","the Couve, Washington   PACNW"," breaking: the captain of flight ms804 is a muslim linked to major muslim terrorist involved in ki… URL via AT_USER",
ObjectID(5742bca7a1503718e7dd9b88),"whytryeveryday","x17"," AT_USER your ugly black ass won't be missed",
ObjectID(5742bd06a1503718e7dd9b89),"RuttenWillem","Cranendonck"," designated terrorist group cair stands by its decision to support the family of the san bernardino muslim terrorists URL",
ObjectID(5742bd31a1503718e7dd9b8a),"crypto_ashotta","Scratlantis"," threat within india URL jihad isis AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER",
ObjectID(5742bd32a1503718e7dd9b8b),"huitz_warrior","Commie-Fornia"," europe is dead, finally being overtaken by jihad crusades thanks to traitor politicians. URL URL",
ObjectID(5742bd39a1503718e7dd9b8c),"DavidWellsCT","Sydney, Australia"," homegrown jihad: minnesota martyrs URL",
ObjectID(5742bd41a1503718e7dd9b8d),"TrumpSweep","All Across American"," bypass the msm and get on thewall URL URL",
ObjectID(5742bd97a1503718e7dd9b8e),"kashmir_save",," AT_USER AT_USER of kashmiri hindus and innocent government employees and people's of kashmir by these jihadis known as jihad",
ObjectID(5742bda4a1503718e7dd9b8f),"Tarmas55",," AT_USER AT_USER AT_USER wouldn't it have been great if one of your family was murdered by muslim terrorist. hopefully soon",
ObjectID(5742bdbca1503718e7dd9b90),"LibertySeeds","Belly o' the beast"," obama's jihad isn't against coal per se, it's against coal miners and their families. maga AT_USER",
ObjectID(5742bdc9a1503718e7dd9b91),"Truth_of_HELL","Everywhere"," true history URL aljazeera iraq iran sirya egypt arab uae islam muslim jihad quran saudi yemen afganistan",
ObjectID(5742bdd8a1503718e7dd9b92),"SLCCStudent","Salt Lake City, Utah, USA"," AT_USER captain of egyptian flight ms804, is a muslim linked to major terrorist activities and benghazi URL",
ObjectID(5742be21a1503718e7dd9b93),"mediacrooks","India"," lol! moron ..why did you commit crimes? you couldve just sent your son to AT_USER they hv connections with hafiz URL",
ObjectID(5742be29a1503718e7dd9b94),"suaviter9",," AT_USER AT_USER it's hardly global jihad now is it?",
ObjectID(5742be6fa1503718e7dd9b95),"price_annette",," muslim jihad URL",
ObjectID(5742be83a1503718e7dd9b96),"Jeff_Hemsworth","United States"," wtf!!! must be a joke... i am sure that the australian people are not that foolish stopislam antiislam peace URL",
ObjectID(5742bea8a1503718e7dd9b97),"gwbehn","USA"," AT_USER AT_USER AT_USER AT_USER sadly, it's worked so far & lame gop pols have done little to fight democrat jihad tcot",
ObjectID(5742bec0a1503718e7dd9b98),"BanPaidMedia",," lol! moron ..why did you commit crimes? you couldve just sent your son to thehindu.. they hv connections with hafiz URL",
ObjectID(5742bf2ca1503718e7dd9b99),"kashmir_save",," AT_USER shut your mouth jihadi u want to make kashmir a hell we earn money from tourism and u want to make poor our people's why jihad",
ObjectID(5742bf5ca1503718e7dd9b9a),"IlyaGridneff","Nairobi, Kenya"," “the somali community is deeply divided about the trial...."" URL",
ObjectID(5742bf69a1503718e7dd9b9b),"ikaveri","Here and There"," arrested is recruit wanted to train his son for jihad URL",
ObjectID(5742bf81a1503718e7dd9b9c),"phamtungpth",," minesweeper terrorist prank (gone wrong) [2016] (hd 1080p) (sexy jihad women) URL URL",
ObjectID(5742bfb5a1503718e7dd9b9d),"Conscores","USA"," who paid for obama's college education? rt URL stopislam tcot ccot makedclisten teaparty conservatives",
ObjectID(5742bfb8a1503718e7dd9b9e),"RetireTheLeft","USA"," forming a coalition! rt URL stopislam crusades makedclisten wakeupamerica AT_USER",
ObjectID(5742bfdca1503718e7dd9b9f),"realclearisrael","Jerusalem & Vancouver "," kosovo, the new jihad state in the heart of europe | pamela geller URL",
ObjectID(5742bfe6a1503718e7dd9ba0),"kashmir_save",," kashmir future not good if we kashmiris don't take arms against jihad these jihadis will make kashmir another poor afghanistan kashmir",
ObjectID(5742c01ba1503718e7dd9ba1),"Marcelaccra","Ghana"," western elites still refuse to learn the jihad doctrine. islam is a separate world and even a separate universe of amorality.",
ObjectID(5742c035a1503718e7dd9ba2),"Mallory5555",," islamicstate state group leader urges attacks in europe and usa stopislam URL",
ObjectID(5742c03fa1503718e7dd9ba3),"Kolt45n2ZigZagz","from Tropicana to Bonanza"," ""they say you fight the greatest jihad in your heart and your mind"" AT_USER",
ObjectID(5742c048a1503718e7dd9ba4),"_chadstick","worksop"," pot kettle black you ugly prick",
ObjectID(5742c1aca1503718e7dd9ba5),"shrths","bengaLuru"," AT_USER as part of training, suicide bombing should be a compulsory homework project ! URL",
ObjectID(5742c1c9a1503718e7dd9ba6),"iitmweb","Virtual Regime, InterWeb"," isis calls for ""month of conquest and jihad"" against europe, america - breaking israel news URL",
ObjectID(5742c23aa1503718e7dd9ba7),"kashmir_save",," death for jihad in kashmir kashmir",
ObjectID(5742c24ba1503718e7dd9ba8),"Speedcomesfirst","John 6:14 "," i know, it's out of order that the west hates islam on the basis that islam wants to kill the west! quran 9:5🔪 URL",
ObjectID(5742c24ca1503718e7dd9ba9),"Budovsk","Victoria, Australia"," AT_USER didn't want to disrupt the cia funded jihad and opium production?",
ObjectID(5742c279a1503718e7dd9baa),"HELLHOO2U","Searching with Google"," so love jihad has reached to iim's too. AT_USER URL",
ObjectID(5742c27ca1503718e7dd9bab),"kashmir_save",," i want to ask all jihadis and porkistan lovers what afghanistan get from jihad which sponsored by porkistan like kashmir kashmir",
ObjectID(5742c2aca1503718e7dd9bac),"baydigger","United States"," remember our ancestors jihad muslims back on earth? we must assimilate or die! URL",
ObjectID(5742c2c3a1503718e7dd9bad),"PriyaGrewal1",," no wonder they're silent. jihad ramadan treat or something. plane","{ ""type"" : ""Point"", ""coordinates"" : [ 51.506698, -0.5389633 ] }"
ObjectID(5742c2fca1503718e7dd9bae),"catalinasawan","Beirut"," jihad al arab wins costa brava tender... URL",
ObjectID(5742c304a1503718e7dd9baf),"downloadmoviesz","Chicago"," women seeking men tampa URL big ugly black woman",
ObjectID(5742c314a1503718e7dd9bb0),"TRACterrorism","United States"," new issue of alqaeda in the india-n subcontinent’s magazine: “nawai afghan jihad magazine"" URL URL",
ObjectID(5742c316a1503718e7dd9bb1),"BadBlueNews","The Internets"," kosovo, the new jihad state in the heart of europe URL",
ObjectID(5742c34ba1503718e7dd9bb2),"STEMROB7",," republican congress get on the trumptrain and join URL URL",
ObjectID(5742c376a1503718e7dd9bb3),"nothiefs","United States"," new issue of alqaeda in the india-n subcontinent’s magazine: “nawai afghan jihad magazine"" URL …",
ObjectID(5742c38da1503718e7dd9bb4),"kashmir_save",," AT_USER hell for your jihad and for u also",
ObjectID(5742c3cea1503718e7dd9bb5),"TheCyancynic",," AT_USER looks like i'm not the only one who things you're pretty off base on you jihad URL",
ObjectID(5742c3d4a1503718e7dd9bb6),"realVivaEuropa","Europa"," islam is the biggest threat to europe now. i don't want all of it to become like paris or sweden. stopislam URL",
ObjectID(5742c40da1503718e7dd9bb7),"Posts_from_Asia","Entire Asia"," we must boycott insane people! URL aljazeera iraq iran sirya egypt arab uae islam muslim jihad quran saudi",
ObjectID(5742c41fa1503718e7dd9bb8),"TheMuslimIssue","New York, NY"," AT_USER no, its pure jihad - the effort for islamic conquest.",
ObjectID(5742c432a1503718e7dd9bb9),"bobfox321","USA"," who to believe on islam & world domination? URL rt stopislam tcot ccot makedclisten teaparty conservatives",
ObjectID(5742c434a1503718e7dd9bba),"Conscores","USA"," excellent & informative. this book sticks to the facts. rt URL stopislam billwarnerphd AT_USER makedclisten",
ObjectID(5742c437a1503718e7dd9bbb),"RetireTheLeft","USA"," excellent & informative. this book sticks to the facts. rt URL stopislam billwarnerphd AT_USER makedclisten",
ObjectID(5742c486a1503718e7dd9bbc),"i9erys","#MakeAmericaGreatAgain "," trump states islam is dangerous! trump is 100% correct.look at this☆ URL URL URL",
ObjectID(5742c487a1503718e7dd9bbd),"Mr_Roshan",," muslim hijabi village idiot owned for being a regressive moron: URL stopislam hijab",
ObjectID(5742c49ca1503718e7dd9bbe),"ZaynAhmad",," 'stealth jihadi' wtf 😂😂😂 URL",
ObjectID(5742c520a1503718e7dd9bbf),"horussal",," AT_USER AT_USER if you have gun and muslim ur automaticly be a terrorist to america its normal. but they also showed cia is corrupted",
ObjectID(5742c532a1503718e7dd9bc0),"suaviter9",," they get all misty eyed at the thought of the violent jihad. a wonderful time to tell their children about jihad too URL",
ObjectID(5742c53ca1503718e7dd9bc1),"VanheesLuc",," belgian vice pm admits: muslims celebrated in the streets after brussels jihad massacre, media ignor URL",
ObjectID(5742c569a1503718e7dd9bc2),"michaelmunnik","Cardiff, Wales"," “i ate pork in front of them...they said i was just pretending so i could do some mission, like jihad.” rohingya URL",
ObjectID(5742c58ba1503718e7dd9bc3),"brahmaikshvaku",," these iranis r so white..but y these indian musalmaan r so ugly n black..though they claim came from iran 😆😆",
ObjectID(5742c596a1503718e7dd9bc4),"_schizoid_man",," naafi is promiscuous and opportunistic URL via AT_USER",
ObjectID(5742c5d1a1503718e7dd9bc5),"truclear",," URL jihad against christians has never stopped. europe’s nightmare is coming here.",
ObjectID(5742c5eba1503718e7dd9bc6),"CityLightsChan",," ""ramadan, the month of conquest and jihad. get prepared, be ready ..."" isis ramadan... URL via AT_USER",
ObjectID(5742c621a1503718e7dd9bc7),"aslhoney_man","Mumbai"," how you concluded? beside for muslim the earth is the mosque. URL",
ObjectID(5742c665a1503718e7dd9bc8),"kashmir_save",," porkistan promoted jihad make afghanistan a hell where poverty and illiteracy make permanent home and now they want same thing in kashmir",
ObjectID(5742c66fa1503718e7dd9bc9),"pointblanc_1960",," and paedophile AT_USER as well.. URL",
ObjectID(5742c6a5a1503718e7dd9bca),"STEMROB7",," republican congress get on the trumptrain and join URL URL",
ObjectID(5742c6a9a1503718e7dd9bcb),"NewmanJustice07","Tahiti"," AT_USER lmao. i kept it real. you're the one that turned into the ugly mad black woman. so fucking typical. stupid cunty! ugheww!",
ObjectID(5742c6b6a1503718e7dd9bcc),"kashmir_save",," any shia join jihad in kashmir the answer is no because they with development not with terrorism kashmir",
ObjectID(5742c6d3a1503718e7dd9bcd),"PVInternational",," URL west africa jihad insight URL",
ObjectID(5742c6d6a1503718e7dd9bce),"ProtectionGIntl","London UK"," URL west africa jihad insight URL",
ObjectID(5742c711a1503718e7dd9bcf),"Adjustedwell","USA"," cia officer: barack hussein obama has helped muslim brotherhood infiltrate american government and is helping them. URL",
ObjectID(5742c76fa1503718e7dd9bd0),"khalidrafiq138","Pakistan"," islamabad sees jihad as low-cost option to bleed india, says former pak envoy to us URL",
ObjectID(5742c7a5a1503718e7dd9bd1),"ShabirMaiwand","Not very far from you"," amirul mumineen mullah akhtar mansour (hafidhahullah) is in afghanistan leading the jihad and not martyred! URL",
ObjectID(5742c7e4a1503718e7dd9bd2),"america_take","WHERE MUSLIMS ARE NOT"," this is a true terrorist bitch! that we allowed in office, with the rest of the muslim brotherhood terrorist!! URL",
ObjectID(5742c7e5a1503718e7dd9bd3),"Rasced_Alen",," how isil out-terrorized bin laden URL & the new coalition to destroy the islamic state URL",
ObjectID(5742c821a1503718e7dd9bd4),"bobfox321","USA"," learn how to help those who suffer under islam. rt URL stopislam billwarnerphd politicalislam cspi bansharia",
ObjectID(5742c822a1503718e7dd9bd5),"365Arizona","State of Arizona"," iran is calling the shots! rt URL stopislam AT_USER tcot makedclisten wakeupamerica",
ObjectID(5742c82aa1503718e7dd9bd6),"VigilPatriot",," most jihad is done w/ $$ and persuasion. rt URL AT_USER billwarnerphd URL",
ObjectID(5742c878a1503718e7dd9bd7),"Truth_of_HELL","Everywhere"," terror nation URL aljazeera iraq iran sirya egypt arab uae islam muslim jihad quran saudi yemen afganistan",
ObjectID(5742c87aa1503718e7dd9bd8),"Kunarnuristan",," AT_USER AT_USER i know, he lived as paki, committed jihad for pak, died as a paki, will b buriedn pk& mourned n pk.",
ObjectID(5742c87fa1503718e7dd9bd9),"johnnyangel10","NJ"," kosovo, the new jihad state in the heart of europe | pamela geller URL via AT_USER URL",
ObjectID(5742c8f0a1503718e7dd9bda),"mjroknrepublc11","san francisco bay area in CA"," and managed to help these bitches accomplish complete jihad morons URL",
ObjectID(5742c9f6a1503718e7dd9bdb),"TAtputharajan"," TRUTH or LIE & ITS UR CHOICE "," breaking: egypt charges obama and hillary with conspiring with terrorist muslim brotherhood URL",
ObjectID(5742ca34a1503718e7dd9bdc),"AidaBehira","United States"," the rainbow jihad declares war on all women. URL URL",
ObjectID(5742ca5fa1503718e7dd9bdd),"johnnyangel10","NJ"," isis urges attacks on west during ramadan, “the month of conquest and jihad” | pamela geller URL",
ObjectID(5742ca7ea1503718e7dd9bde),"StopStopHillary","United States"," it is american bullets coming out of americans guns being shot by jihad and isis! that is a crime!",
ObjectID(5742cacaa1503718e7dd9bdf),"quicksi79085962",," this is what happens when islam arrives in the host country URL",
ObjectID(5742cacda1503718e7dd9be0),"PrisonPlanet","London"," knife jihad? muslim stabs four women in uk, authorities immediately rule out terror. URL",
ObjectID(5742caf7a1503718e7dd9be1),"Elbahtimy_H","London "," yes! handle with care. also a fairly popular unisex name URL",
ObjectID(5742cafba1503718e7dd9be2),"khalidrafiq138","Pakistan"," islamabad sees jihad as low-cost option to bleed india, says former pak envoy to us URL",
ObjectID(5742cb14a1503718e7dd9be3),"JediEconomist","Dagobah"," quiet the police kept the details of this one, hmm. URL",
ObjectID(5742cb17a1503718e7dd9be4),"jcvanhoek1",," *headdesk* URL",
ObjectID(5742cb38a1503718e7dd9be5),"JediWarrior1409","Location - Sector 7 "," islam has subjugated civilisations for 1400 years bluehand stopislam freedomofspeech islamistheproblem URL",
ObjectID(5742cb3da1503718e7dd9be6),"le12querce","Milano - Lombardia, Europa "," forza a u s t r i a austria autriche all sane europe is with you all !!!!!! stopislam ☆☆☆☆☆ URL",
ObjectID(5742cb4ea1503718e7dd9be7),"365Arizona","State of Arizona"," trading a suicide bomber for a pilot! rt URL stopislam AT_USER makedclisten bansharia",
ObjectID(5742cb50a1503718e7dd9be8),"Ricktatorship91",," AT_USER declare jihad on him, i will send my best isis warriors to aid you",
ObjectID(5742cb52a1503718e7dd9be9),"a_taoriox","Lagos"," nigerians are not blind please. please check those girls on jihad and check the faces of the rescued ones and see no resemblance.",
ObjectID(5742cba4a1503718e7dd9bea),"JamesJFromLI","Long Island, New York"," whoa...paul...maybe like former nyc mayor bloomberg said, maybe it's about 'healthcare'? yuck-a-fuckin-roo URL",
ObjectID(5742cba8a1503718e7dd9beb),"MinPalmsResort","CA. USA + PHILIPPINES"," don't think there are no muslim homosexuals. don't think there are no red light dist in saudi ar. either there are! URL",
ObjectID(5742cbb8a1503718e7dd9bec),"janirasanen","Huittinen, Suomi"," so,it's another isolated incident,again. if he authorities ingones our security,we must take care of it our own !!! URL",
ObjectID(5742cf3fa150371de4141170),"b1air_ebooks",," straight boys are so ugly i wear the same two pairs of black skinny jeans",
ObjectID(5742cf42a150371de4141171),"PaulOD1","southern New Jersey"," kosovo, the new jihad state in the heart of europe | pamela geller URL via AT_USER",
ObjectID(5742cf93a150371de4141172),"JediWarrior1409","Location - Sector 7 "," isoc islamist thugs attempt to intimidate maryam n bluehand stopislam freedomofspeech islamistheproblem URL",
ObjectID(5742cfa7a150371de4141173),"MolenNewsMedia","Tampa Bay, Florida"," kosovo, the new jihad state in the heart of europe | pamela geller URL via AT_USER",
ObjectID(5742cfb1a150371de4141174),"Robruitenberg","Amstelveen"," AT_USER AT_USER when its a muslim its a terrorist if its a caucasian its a scared citizen",
ObjectID(5742cfd9a150371de4141175),"IndiaHX1","Newport Beach, CA"," arrested is recruit wanted to train his son for jihad URL",
ObjectID(5742cfdba150371de4141176),"IndiaHX1","Newport Beach, CA"," arrested is recruit wanted to train his son for jihad URL",
ObjectID(5742d00ca150371dfcaeceb7),"_andreajay_","the pit"," salty that this is me neutral  URL",
ObjectID(5742d00ea150371dfcaeceb8),"jinyounginred",," bitch URL",
ObjectID(5742d00ea150371dfcaeceb9),"devilstrend_","Virginia, USA"," lemme stop calling this bitch ""fat"" before i blow up after eating one wing lmao",
ObjectID(5742d011a150371dfcaeceba),"Shorter32944595",," hipster bitch gotti URL",
ObjectID(5742d011a150371dfcaecebb),"MyHotGFUlla",," teen young teen bitch image girlfriend URL",
ObjectID(5742d011a150371dfcaecebc),"nourriemeangels","Up Louis' ass"," it's so cute how the boys think we will just forget about them. like tf bitch",
ObjectID(5742d012a150371dfcaecebd),"queensofsassuk",," excuse you?! queensofsass bitch leave rude phone problems lol funny sassy meme URL",
ObjectID(5742d014a150371dfcaecebe),"dfuckinmoney","in fair verona"," i squashed the beef with yo bitch ass just cause your nigga my homie, you still dumb ass fuck.",
ObjectID(5742d014a150371dfcaecebf),"Shawn_Reynolds_","Plymouth"," my bitch just got a face tat AT_USER",
ObjectID(5742d016a150371dfcaecec0),"dregfckr",," AT_USER thisssss bitch !!!!!!!",
ObjectID(5742d017a150371dfcaecec1),"iConnectAmerica","United States of America"," why were veterans issues left out of republican debate? rt URL stopislam tcot makedclisten URL",
ObjectID(5742d019a150371dfcaecec2),"gundam_mom","Chicago, IL"," skinny bitch edith piaf eyebrows",
ObjectID(5742d01ba150371dfcaecec3),"Team_Fausto96",," bitch where you hiding? i got all this attention and time to give to you",
ObjectID(5742d01ea150371dfcaecec4),"alexaaaviviana",," AT_USER lmao me URL",
ObjectID(5742d01ea150371dfcaecec5),"Ridgemont_Chris","Texas Trill.✈️"," bleu davinci tried to shoot at my old bitch when i was with her,she wasn't budging!😂😭",
ObjectID(5742d01ea150371dfcaecec6),"heyitsmekates",," bitch please, i don't care if you don't like me. 💁",
ObjectID(5742d01ea150371dfcaecec7),"Prince_Mahesh4u","Chennai"," AT_USER u shud hav added boy or bitch AT_USER",
